TermId;Term;P - Exact Match;R - Exact Match;F - Exact Match;P - Decision Trees;R - Decision Trees;F-Decision Trees;P-Naïve Bayes;R-Naïve Bayes;F-Naïve Bayes;P - MaxEnt;R-MaxEnt;F-MaxEnt;UMLS
257;Adenoviridae Infections;0;0;0;0,984269677;0,773673913;0,866304129;0,788590819;0,974670549;0,871789712;0,9974046;0,837330959;0,90930621;1
258;Adenovirus Infections, Human;0;0;0;0,992187426;0,899359662;0,94347014;0,912924444;0,969746739;0,940446188;0,990196481;0,871776074;0,925658455;1
270;Adie Syndrome;0,892857143;0,263157895;0,406504065;0,982826175;0,794970822;0,878674359;0,725544513;0,9927356;0,83809989;1;0,876945813;0,931787832;1
273;Adipose Tissue;0,210898949;0,2949;0,245924196;0,986694543;0,770336568;0,865177141;0,903920015;0,885780617;0,894742078;0,998652335;0,948400833;0,972163979;1
274;Adiposis Dolorosa;0,9375;0,375;0,535714286;0,996875;0,775349658;0,87145596;0,660455493;0,970817528;0,785183162;1;0,831666667;0,905425388;1
275;Adjustment Disorders;0,416370107;0,032727273;0,060684647;0,974251772;0,635559817;0,769205297;0,767137101;0,990181933;0,864459708;0,992929655;0,858259703;0,91741817;1
290;Adnexa Uteri;0,209302326;0,025069638;0,044776119;0,813220243;0,749602218;0,752624164;0,725824889;0,975275315;0,832111847;0,996838117;0,819082589;0,895580955;1
291;Adnexal Diseases;0,270833333;0,009723261;0,018772563;0,986553999;0,68602714;0,809198356;0,756425807;0,993058421;0,858628357;0,989387149;0,890021292;0,936575629;1
292;Pelvic Inflammatory Disease;0,668527265;0,362430168;0,470037736;0,970630179;0,632088211;0,765526767;0,768238296;0,987358525;0,8640996;0,997904894;0,882188508;0,935114058;1
294;Adolescent Behavior;0,394160584;0,0054;0,01065404;0,993182226;0,826574487;0,902234778;0,950164406;0,951475481;0,95080616;0,981656795;0,907874167;0,942574376;1
296;Adolescent Psychiatry;0,541019956;0,237816764;0,330399458;0,985713643;0,812945711;0,89094126;0,737914402;0,998137041;0,848446366;0,994474354;0,79079478;0,877985713;1
297;Adolescent Psychology;0,555555556;0,0025;0,004977601;0,994177142;0,767033543;0,865950699;0,853487183;0,996803182;0,919584314;0,984962341;0,87003;0,923463276;1
302;Adrenal Cortex;0,4685662;0,3585;0,40620928;0,997067475;0,843264383;0,913733772;0,870905435;0,97012834;0,91783772;0,999212601;0,926068333;0,959807024;1
303;Adrenal Cortex Diseases;0,541666667;0,008119925;0,016;0,991765509;0,749826321;0,853862399;0,77795283;0,944967238;0,853258574;0,999219188;0,881069617;0,934817077;1
306;Adrenal Cortex Neoplasms;0,636363636;0,00185923;0,003707627;0,996948667;0,89794289;0,944849057;0,880790546;0,981945892;0,928587391;0,994194646;0,882263734;0,933382585;1
307;Adrenal Gland Diseases;0,895833333;0,010056127;0,019888992;0,993556822;0,706608863;0,825841356;0,752205206;0,973061653;0,84847345;0,994388349;0,889887403;0,938388226;1
308;Adrenocortical Hyperfunction;0,372340426;0,016062414;0,030796304;0,962348817;0,608194009;0,733949812;0,750659076;0,974705211;0,8481144;0,99867663;0,850900303;0,917944089;1
310;Adrenal Gland Neoplasms;0,882352941;0,0015;0,002994909;0,973753588;0,688333914;0,801099286;0,81701181;0,97544127;0,889216857;0,999670044;0,926786667;0,960529638;1
311;Adrenal Glands;0,226103286;0,1204;0,157128874;0,970961297;0,736055932;0,837325495;0,864896387;0,963858362;0,911697181;0,998992265;0,9454575;0,970994475;1
312;Adrenal Hyperplasia, Congenital;0,966666667;0,013163867;0,025974026;0,994472835;0,798730609;0,885902083;0,846691698;0,990972868;0,913130744;0,999119644;0,887468821;0,939034121;1
313;Adrenal Medulla;0,721192758;0,39294418;0,508713942;0,996676762;0,80087719;0,888107357;0,884343607;0,965792484;0,923261521;0,997816963;0,93903049;0,967138002;1
314;Adrenal Rest Tumor;0,761904762;0,110344828;0,192771084;0,947648181;0,812258617;0,869944672;0,715192631;0,996393762;0,831362327;1;0,812857143;0,89137769;1
320;Adrenergic Fibers;0,414893617;0,025341131;0,04776485;0,984611365;0,840426152;0,906792557;0,935198395;0,927440108;0,931266723;0,996921011;0,927304538;0,9602811;1
334;Aerophagy;0,933333333;0,179487179;0,301075269;0,911079345;0,569009107;0,679620093;0,684115678;0,984185551;0,806874861;1;0,789130435;0,874031035;1
341;Affective Disorders, Psychotic;0;0;0;0,975046968;0,779936248;0,866549752;0,778854901;0,990872905;0,872002108;0,995432878;0,868790083;0,925649173;1
342;Affective Symptoms;0,121904762;0,006958791;0,013166015;0,980949094;0,558561278;0,711800138;0,815530273;0,983991927;0,891862086;0,988958579;0,862007403;0,919723779;1
343;Afferent Loop Syndrome;0,757575758;0,364963504;0,492610837;0,965960869;0,732752058;0,832713039;0,702722007;1;0,825033351;1;0,901997354;0,946968708;1
344;Afferent Pathways;0,258555133;0,0204;0,037816294;0,964656745;0,765699519;0,853730397;0,972981249;0,923461581;0,947568878;0,996857621;0,960815833;0,977847434;1
347;Afibrinogenemia;0,898678414;0,215076436;0,347086346;0,7145298;0,947881784;0,814783247;0,762466692;0,973498659;0,855084277;0,998419937;0,855684628;0,920293169;1
355;African Horse Sickness;0,812865497;0,617777778;0,702020202;0,985183944;0,964627332;0,974748126;0,923124128;0,994838057;0,957273167;0,992826087;0,919130435;0,952063053;1
357;African Swine Fever;0,725701944;0,891246684;0,8;0,988992382;0,955563282;0,971795236;0,916319621;0,991034724;0,9520442;0,99375;0,924559033;0,956643686;1
360;Afterimage;0,75739645;0,147976879;0,247582205;0,967424892;0,649929679;0,777257066;0,784381651;0,986813724;0,873988289;0,998988966;0,916953488;0,955366683;1
361;Agammaglobulinemia;0,867366412;0,173109884;0,288617241;0,910425672;0,647036128;0,736641216;0,776854213;0,983202019;0,86791181;0,997455445;0,902723944;0,947130172;1
370;Ageusia;0,49382716;0,251572327;0,333333333;0,978817997;0,776370285;0,864990273;0,642475574;0,994526119;0,78005827;0,988541667;0,79;0,873093813;1
374;Aggression;0,259672258;0,2678;0,26367351;0,748858001;0,903916774;0,818715289;0,82458758;0,98942577;0,899512478;0,998996335;0,916320833;0,955401852;1
377;Agnosia;0,653292181;0,358959864;0,463334549;0,957021702;0,656837191;0,778686964;0,785332148;0,986936343;0,874617433;0,996646989;0,840855354;0,910516274;1
378;Agonistic Behavior;0,575342466;0,117400419;0,195008706;0,967347297;0,699989458;0,812134887;0,938697469;0,887108115;0,912050103;0,993766809;0,791895221;0,879234638;1
381;Agraphia;0,604790419;0,427362482;0,500826446;0,99471106;0,778861119;0,873424849;0,804823036;0,997887425;0,890789034;0,998450989;0,869843058;0,928069846;1
382;Agricultural Workers' Diseases;1;0,000435825;0,00087127;0,990298248;0,507854751;0,671128543;0,774843713;0,982148019;0,866251822;0,996133696;0,833521742;0,905722568;1
386;AIDS-Related Complex;0,615306122;0,314226159;0,416005519;0,984894307;0,929683787;0,956467693;0,903204432;0,96303752;0,932078106;0,997446086;0,932637362;0,963274536;1
387;Ainhum;0,857142857;0,693877551;0,766917293;1;0,860768515;0,924639689;0,740709166;0,987881308;0,846410666;1;0,813333333;0,891981249;1
400;Air Sacs;0,408759124;0,125139665;0,191616766;0,986825294;0,730781175;0,839469679;0,834059344;0,966855977;0,895339272;0,994758341;0,860763421;0,921496889;1
402;Airway Obstruction;0,38616796;0,2736;0,320280948;0,775571444;0,904532287;0,835094398;0,801495618;0,986200055;0,884285932;0,996184389;0,924274167;0,95867096;1
405;Akinetic Mutism;0,431893688;0,401234568;0,416;0,96108232;0,783227246;0,862671772;0,69753469;0,995482045;0,82001692;1;0,777263258;0,869277059;1
417;Albinism;0,541484716;0,386533666;0,451073117;0,986772554;0,700250787;0,819105303;0,767113942;0,960478574;0,852894971;0,997444902;0,854977484;0,918863397;1
419;Albuminuria;0,761089987;0,265825587;0,394028871;0,987649334;0,837584574;0,9064218;0,964986584;0,830046193;0,892430844;0,987542426;0,860848235;0,917471659;1
425;Alcohol Amnestic Disorder;0,666666667;0,007346189;0,014532243;0,983230922;0,731133892;0,838479913;0,771831943;0,995639247;0,869476168;0,997909227;0,923755963;0,95887356;1
428;Alcohol Drinking;0,238313474;0,026;0,046884862;0,992672498;0,794382599;0,882517625;0,842210276;0,980761461;0,906211326;0,998145684;0,956304167;0,9765774;1
430;Alcohol Withdrawal Delirium;0,921052632;0,024088094;0,046948357;0,987507433;0,876579857;0,928692175;0,750036581;0,99328189;0,854623081;0,998320466;0,854327161;0,919061808;1
435;Alcoholic Intoxication;0,757841907;0,064668094;0,119167407;0,989885427;0,749413594;0,853014368;0,813586478;0,978899236;0,888601366;0,997034695;0,852900919;0,917387135;1
437;Alcoholism;0,215544041;0,2704;0,239875804;0,991940193;0,758703264;0,859775967;0,800156315;0,973741847;0,878442486;0,998552876;0,927851667;0,961668331;1
453;Aleutian Mink Disease;0,828571429;0,213235294;0,339181287;0,979501;0,821929097;0,893022247;0,789740947;0,995550883;0,880361525;1;0,895753968;0,943508325;1
471;Alkalosis;0,494009473;0,492910759;0,493459505;0,903343695;0,775333272;0,818659443;0,768945726;0,97907071;0,861314677;0,998715869;0,875726489;0,931968089;1
472;Alkalosis, Respiratory;0,454545455;0,006234414;0,012300123;0,99020039;0,667897986;0,797045818;0,743777105;0,984730391;0,847249664;0,997875926;0,898862654;0,944953542;1
474;Alkaptonuria;0,89135255;0,581765557;0,704028021;1;0,737094349;0,848476307;0,721971356;0,987152766;0,833897551;0,998319659;0,845358178;0,912840439;1
505;Alopecia;0,470564186;0,489232077;0,479716588;0,988305924;0,730806955;0,840244844;0,771899484;0,978224238;0,86287197;0,996646027;0,829595293;0,903919934;1
506;Alopecia Areata;0,875874126;0,752628943;0,809587934;0,98713865;0,915004542;0,94969511;0,749554016;0,992236621;0,853914303;0,998423296;0,833687046;0,907297678;1
507;Mucinosis, Follicular;0,666666667;0,033333333;0,063492063;0,990820282;0,930521932;0,959287804;0,696772533;1;0,820665222;1;0,883333333;0,936318096;1
532;Altitude Sickness;0,886792453;0,042114695;0,080410607;0,998343441;0,873053592;0,931491345;0,943148137;0,984553838;0,963359124;0,997321189;0,853818683;0,917882094;1
533;Altruism;0,676996424;0,15297603;0,249560633;0,653673795;0,940289009;0,771172093;0,815107684;0,991158677;0,894519246;0,981427283;0,781931385;0,868859013;1
539;Alveolar Process;0,54259502;0,050169656;0,091846922;0,978864406;0,777790121;0,866793513;0,893136359;0,985012624;0,936814025;0,996530095;0,839180002;0,908773818;1
542;Alveolitis, Extrinsic Allergic;0,875;0,003004292;0,005988024;0,980983575;0,865330027;0,919502015;0,811771817;0,993816671;0,8936024;0,99641703;0,893357143;0,941248882;1
550;Amblyopia;0,772227533;0,650886382;0,706383909;0,988953776;0,795346594;0,881609224;0,810319293;0,996350872;0,893717671;0,996093198;0,859154725;0,921694066;1
562;Amebiasis;0,489977728;0,30351805;0,374840267;1;0,644213934;0,78358614;0,781570148;0,972880141;0,866768294;0,998396704;0,824651124;0,902011486;1
564;Ameloblastoma;0,869675779;0,536470588;0,66359447;0,978891219;0,754800242;0,852006032;0,752458158;0,992430259;0,855904002;0,992738172;0,83257563;0,903937863;1
565;Ameloblasts;0,657198825;0,580952381;0,616727941;0,990537229;0,874520977;0,928883195;0,941479153;0,981445096;0,960991967;0,99843055;0,918441279;0,956099842;1
567;Amelogenesis Imperfecta;0,900677201;0,729433272;0,806060606;0,992371408;0,929225705;0,959711279;0,731434339;0,99840707;0,844118482;0,998592593;0,823604938;0,90032721;1
592;Amino Acid Metabolism, Inborn Errors;1;0,000432713;0,000865052;0,75183543;0,798595118;0,772833897;0,782543087;0,987270581;0,873046498;0,99801414;0,913746865;0,953195127;1
608;Renal Aminoacidurias;0;0;0;0,856850617;0,717106797;0,749886665;0,758377824;0,973818749;0,852493449;0,998263889;0,87937894;0,932942888;1
647;Amnesia;0,548005908;0,557894737;0,55290611;0,995269561;0,809728453;0,89293735;0,845637176;0,986327348;0,910568548;0,993297206;0,878571194;0,931529188;1
648;Amnesia, Retrograde;0,2;0,001381215;0,002743484;0,987409178;0,893117833;0,937667045;0,91660818;0,973874447;0,944115311;0,99021456;0,885265855;0,93376311;1
652;Amniotic Band Syndrome;0,843243243;0,355353075;0,5;0,984797686;0,904031187;0,942427627;0,747751563;0,999350649;0,855168331;0,990503876;0,870924947;0,924773709;1
664;Amphibian Venoms;0;0;0;0,996264268;0,628808154;0,770509278;0,920555754;0,940646117;0,930157898;1;0,832478632;0,905858657;1
672;Amputation Stumps;0,810526316;0,069588793;0,128173117;0,992243045;0,645621974;0,782207887;0,757581934;0,987121046;0,857223847;0,996251749;0,870526156;0,928447677;1
673;Amputation, Traumatic;0,4;0,000582072;0,001162453;0,978787118;0,734428547;0,839111118;0,782747323;0,989814293;0,874138718;0,992154017;0,878220833;0,930082378;1
679;Amygdala;0,481958563;0,6211;0,542753528;0,970035837;0,860562998;0,912016983;0,968267553;0,96286137;0,965552087;0,993793651;0,939285833;0,965251725;1
686;Amyloidosis;0,674885845;0,6651;0,66995719;0,998139445;0,8069855;0,892434418;0,808283439;0,985367806;0,888079074;0,999154702;0,935244167;0,965590913;1
690;Amyotrophic Lateral Sclerosis;0,87699877;0,71347565;0,786830973;0,991408813;0,881502651;0,933141717;0,958405571;0,969034149;0,963679293;0,996786406;0,84141641;0,909844976;1
694;Anal Gland Neoplasms;0;0;0;0,996969697;0,703847192;0,824101309;0,662773016;0,99048366;0,792082427;0,99375;0,841666667;0,908241501;1
695;Anal Sacs;0,756756757;0,235294118;0,358974359;0,964444836;0,910379291;0,936028757;0,71445921;0,984383499;0,826544038;1;0,813030303;0,893867081;1
699;Pain Insensitivity, Congenital;0;0;0;0,967199316;0,896729724;0,930526404;0,70221466;0,988255844;0,820862998;1;0,888342803;0,937117467;1
708;Anaplasia;0,123783032;0,263313609;0,168401135;0,97555616;0,820475244;0,890835112;0,881107898;0,972274708;0,92387041;0,979002729;0,839893048;0,89910356;1
711;Anaplasmataceae Infections;0;0;0;0,963908988;0,742242135;0,837864746;0,753563433;0,989957807;0,854930467;0,997222222;0,894210526;0,940720713;1
712;Anaplasmosis;0,87432675;0,514255544;0,647606383;0,99325729;0,954650756;0,97353428;0,928563092;0,990106649;0,958226227;0,9955353;0,890704367;0,936994553;1
721;Ancrod;0,741697417;0,582608696;0,652597403;0,99671285;0,763499497;0,864353696;0,780379058;0,989650839;0,872219701;1;0,90092437;0,945092381;1
724;Ancylostomiasis;0,364269142;0,169546436;0,231392778;1;0,69422946;0,819357596;0,747014894;0,994295341;0,853002425;0,99717407;0,815337541;0,895600253;1
741;Anemia, Aplastic;0,727272727;0,0024;0,004784212;0,970436787;0,724112168;0,823873913;0,81896345;0,984867188;0,894269925;0,998597645;0,935671667;0,965552473;1
742;Anemia, Dyserythropoietic, Congenital;0;0;0;0,993357759;0,900218207;0,94434662;0,902294451;0,980124338;0,938733097;0,988571429;0,919444444;0,951428582;1
743;Anemia, Hemolytic;0,4;0,0014;0,002790234;0,791102238;0,929691759;0,854810652;0,810828521;0,957620097;0,878122551;0,997610341;0,8866175;0,938187464;1
744;Anemia, Hemolytic, Autoimmune;0;0;0;0,990773315;0,7310705;0,841229167;0,763075616;0,990894142;0,862165503;0,997239502;0,898950738;0,944575453;1
745;Anemia, Hemolytic, Congenital;0;0;0;0,984462903;0,623025638;0,762653212;0,749095729;0,982059606;0,849764784;0,998322151;0,895711185;0,9434452;1
746;Anemia, Hemolytic, Congenital Nonspherocytic;0;0;0;0,992808505;0,773929251;0,869761524;0,780670148;0,999502488;0,87649685;0,998259958;0,909457627;0,95067159;1
748;Anemia, Macrocytic;1;0,000756144;0,001511145;0,802666573;0,829611623;0,790321638;0,752964829;0,962269818;0,844816275;0,999135738;0,912176632;0,952919276;1
749;Anemia, Megaloblastic;0,416666667;0,004385965;0,008680556;0,984218228;0,760390559;0,857841747;0,742994626;0,991327026;0,849219981;0,997094695;0,872677193;0,929889866;1
750;Anemia, Myelophthisic;0;0;0;0,696322196;0,91422903;0,790160514;0,757272645;0,956021778;0,844755933;1;0,863628049;0,925524864;1
751;Anemia, Neonatal;0,166666667;0,002020202;0,003992016;0,956074758;0,737248564;0,830453186;0,745950317;0,99700222;0,853012018;1;0,846408163;0,914472035;1
752;Anemia, Pernicious;0,8;0,002369668;0,00472534;0,986247595;0,683757778;0,807551132;0,798740812;0,969148041;0,875723153;0,999262418;0,908300899;0,950916839;1
753;Anemia, Refractory;0,173076923;0,012195122;0,02278481;0,987727649;0,892184338;0,937464528;0,91098085;0,982063243;0,945116235;0,996367808;0,886441812;0,936031961;1
754;Anemia, Refractory, with Excess of Blasts;0;0;0;0,981824662;0,887068001;0,931821257;0,931506593;0,98376753;0,956828327;0,993974852;0,918194972;0,95347156;1
755;Anemia, Sickle Cell;0,775;0,0031;0,006175299;0,99527474;0,818071798;0,898004471;0,825439619;0,985151781;0,898238985;0,998534901;0,950649167;0,973185575;1
756;Anemia, Sideroblastic;0,333333333;0,000685871;0,001368925;0,995363051;0,692541766;0,816734997;0,737734552;0,990299368;0,845475051;0,9977271;0,882532326;0,935417395;1
782;Aneuploidy;0,644216691;0,451900034;0,531187123;0,990751282;0,790675366;0,879465536;0,958979748;0,894052735;0,925361917;0,993394243;0,866111509;0,924194407;1
783;Aneurysm;0,1375;0,5049;0,216138699;0,986505458;0,732967018;0,841034365;0,802173634;0,982848268;0,883361749;0,996753949;0,926575;0,959865297;1
784;Aneurysm, Dissecting;0,705882353;0,001245718;0,002487047;0,991356382;0,910658047;0,949290775;0,928590795;0,987170596;0,956975093;0,984590797;0,903877007;0,941124638;1
785;Aneurysm, Infected;0,696969697;0,010483136;0,02065559;0,997329587;0,903839293;0,948265275;0,753664627;0,995969242;0,857972884;0,989842258;0,922190061;0,953671329;1
786;Anger;0,447648788;0,542761693;0,490638212;0,984739576;0,692580981;0,813185691;0,868189211;0,982789238;0,921903421;0,983491758;0,82453531;0,893808479;1
